ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60616,28,07/05/2020,07/11/2020,32,545,59,1000.7,1215,8769,2231,16100.5,0.0,0.1,0,34,0.0,62.4,54464,60616-2020-28,POINT (-87.629531 41.844869)
60616,21,05/23/2021,05/29/2021,17,3840,31,7050.5,1527,84025,2804,154276.2,0.0,0.1,3,98,5.5,179.9,54464,60616-2021-21,POINT (-87.629531 41.844869)
60617,21,05/23/2021,05/29/2021,52,8266,63,10015.3,1639,93172,1986,112889.2,0.0,0.1,0,164,0.0,198.7,82534,60617-2021-21,POINT (-87.556897 41.721257)
60618,1,01/03/2021,01/09/2021,299,6605,317,6997.2,3302,83032,3498,87962.3,0.1,0.1,3,97,3.2,102.8,94395,60618-2021-1,POINT (-87.703343 41.946699)
60618,11,03/14/2021,03/20/2021,80,7651,85,8105.3,2556,108302,2708,114732.8,0.0,0.1,0,111,0.0,117.6,94395,60618-2021-11,POINT (-87.703343 41.946699)
60602,11,03/14/2021,03/20/2021,0,97,0,7797.4,60,2108,4823,169453.4,0.0,0.1,0,2,0.0,160.8,1244,60602-2021-11,POINT (-87.628309 41.883136)
60602,12,03/21/2021,03/27/2021,2,99,161,7958.2,72,2180,5788,175241.2,0.1,0.1,0,2,0.0,160.8,1244,60602-2021-12,POINT (-87.628309 41.883136)
60602,13,03/28/2021,04/03/2021,1,100,80,8038.6,56,2236,4502,179742.8,0.0,0.1,0,2,0.0,160.8,1244,60602-2021-13,POINT (-87.628309 41.883136)
60602,14,04/04/2021,04/10/2021,1,101,80,8119,64,2300,5145,184887.5,0.0,0.1,0,2,0.0,160.8,1244,60602-2021-14,POINT (-87.628309 41.883136)
60602,15,04/11/2021,04/17/2021,1,102,80,8199.4,72,2372,5788,190675.2,0.0,0.1,0,2,0.0,160.8,1244,60602-2021-15,POINT (-87.628309 41.883136)
60602,16,04/18/2021,04/24/2021,3,105,241,8440.5,72,2444,5788,196463,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-16,POINT (-87.628309 41.883136)
60602,17,04/25/2021,05/01/2021,1,106,80,8520.9,80,2524,6431,202893.9,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-17,POINT (-87.628309 41.883136)
60602,18,05/02/2021,05/08/2021,0,106,0,8520.9,82,2606,6592,209485.5,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-18,POINT (-87.628309 41.883136)
60618,12,03/21/2021,03/27/2021,121,7772,128,8233.5,2809,111111,2976,117708.6,0.0,0.1,2,113,2.1,119.7,94395,60618-2021-12,POINT (-87.703343 41.946699)
60618,13,03/28/2021,04/03/2021,125,7897,132,8365.9,3048,114159,3229,120937.5,0.0,0.1,1,114,1.1,120.8,94395,60618-2021-13,POINT (-87.703343 41.946699)
60618,14,04/04/2021,04/10/2021,170,8067,180,8546,3157,117316,3344,124282,0.1,0.1,0,114,0.0,120.8,94395,60618-2021-14,POINT (-87.703343 41.946699)
60618,15,04/11/2021,04/17/2021,127,8194,134,8680.5,2788,120104,2954,127235.6,0.1,0.1,0,114,0.0,120.8,94395,60618-2021-15,POINT (-87.703343 41.946699)
